"group","label (en)","label (fr)"
"Y_LT5","under 5 years","moins de 5 ans"
"Y5-9","5 to 9 years","5 à 9 ans"
"Y10-14","10 to 14 years","10 à 14 ans"
"Y15-19","15 to 19 years","15 à 19 ans"
"Y20-24","20 to 24 years","20 à 24 ans"
"Y25-29","25 to 29 years","25 à 29 ans"
"Y30-34","30 to 34 years","30 à 34 ans"
"Y35-39","35 to 39 years","35 à 39 ans"
"Y40-44","40 to 44 years","40 à 44 ans"
"Y45-49","45 to 49 years","45 à 49 ans"
"Y50-54","50 to 54 years","50 à 54 ans"
"Y55-59","55 to 59 years","55 à 59 ans"
"Y60-64","60 to 64 years","60 à 64 ans"
"Y65-69","65 to 69 years","65 à 69 ans"
"Y70-74","70 to 74 years","70 à 74 ans"
"Y75-79","75 to 79 years","75 à 79 ans"
"Y80-84","80 to 84 years","80 à 84 ans"
"Y85-89","85 to 89 years","85 à 89 ans"
"Y90-94","90 to 94 years","90 à 94 ans"
"Y95-99","95 to 99 years","95 à 99 ans"
"Y95-99","100 years and over","100 ans et plus"